Record,Value Speed 15 RPS,Value Speed 45 RPS
79,21.83765979,9.662429175
80,22.935356,10.25272364
81,22.89634145,14.29716957
82,21.6772792,14.06006875
83,22.11187152,12.41087338
84,23.83314855,13.80060228
85,22.0544375,12.62915389
86,22.4601885,12.31314173
87,22.52361813,12.5389488
88,23.49719989,12.01125016
89,18.00108162,16.4641796
90,15.84980976,16.23369224
91,17.35672537,15.43913655
92,17.83421529,14.24664694
93,19.00690616,13.98684112
94,18.64547953,13.84036832
95,18.6591755,13.91820402
96,12.15246884,14.11331798
97,13.44978618,15.07517351
98,15.3912039,13.61261847
99,18.46558195,13.24656711
100,22.09262299,12.94074025
101,22.94688519,12.49932492
102,24.04600181,13.1396248
103,23.45809533,12.96494437
104,25.01144229,15.15541921
105,20.1038394,15.29594284
106,22.35668019,14.52211833
107,23.79868655,14.42108797
108,26.41480498,13.42132668
109,28.27319637,12.58850418
110,28.36984799,12.66706979
111,28.24493239,13.11657432
112,29.32040614,12.19488377
113,12.15931841,14.61900647
114,11.83398463,14.92736622
115,11.89422547,18.52847482
116,11.11818558,16.85247739
117,10.74435368,17.06124302
118,10.84740763,18.38586505
119,10.78219728,16.79829496
120,16.0405236,16.14758336
121,14.51351201,12.74255777
122,13.88288631,13.2507085
123,13.26992781,13.30843244
124,13.38387962,12.81190838
125,13.15809269,12.74146303
126,13.20744769,13.02947391
127,13.08771319,13.46968061
128,18.35482061,12.6369768
129,16.93857319,12.40683388
130,15.24658125,13.21567127
131,14.41679292,12.26319513
132,13.51169298,12.39545473
133,13.2878357,13.05516599
134,13.69820723,12.13652162
135,13.77465336,11.44343622
136,13.58484845,11.71734533
137,17.60547078,13.31867574
138,17.01209379,12.91442948
139,18.08473531,12.81234974
140,18.43760323,12.51670448
141,18.86265835,11.77444859
142,18.35712599,11.74513673
143,17.37513944,11.96218651
144,17.54534436,15.94247323
145,20.16309011,13.6725002
146,19.17099871,12.83794698
147,20.73876031,12.51995224
148,21.01539409,13.22806191
149,20.88736641,12.36508222
150,21.54418884,11.56758118
151,21.0779911,11.02423397
152,20.45313258,11.21281459
153,19.67765031,14.40080553
154,18.70251542,13.52590003
155,20.23904301,12.03934892
156,20.32867016,10.6782272
157,19.40903702,10.68348474
158,18.69182036,10.03764242
159,19.40675933,9.704496536
160,18.14898228,10.13046164
161,17.99813787,10.12094415
162,17.97767357,9.624207224
163,20.1717687,9.395892272
164,18.21087009,9.450164163
165,17.52963379,9.115976765
166,17.29612703,8.55595995
167,17.47081749,7.947616427
168,23.28197768,8.10443967
169,21.52439461,8.40895259
170,19.86907415,8.337224108
171,25.8351287,7.862244348
172,23.59332647,8.067803767
173,24.58747003,8.456481434
174,22.04697336,7.240547093
175,21.24776063,7.792651127
176,21.67700356,7.435396617
177,20.87420888,7.567472012
178,19.88912946,8.530173848
